item_id,text,source_dataset,char_count
item_0000,"As with any other form of media, animation has instituted awards for excellence in the field. Many are part of general or regional film award programs, like the China's Golden Rooster Award for Best Animation (since 1981). Awards programs dedicated to animation, with many categories, include ASIFA-Hollywood's Annie Awards, the Emile Awards in Europe and the Anima Mundi awards in Brazil.",wikimedia/wikipedia,389
item_0001,"Korzybski was well received in numerous disciplines, as evidenced by the positive reactions from leading figures in the sciences and humanities in the 1940s and 1950s. These include author Robert A. Heinlein naming a character after him in his 1940 short story ""Blowups Happen"", and science fiction writer A. E. van Vogt in his novel ""The World of Null-A"", published in 1948. Korzybski's ideas influenced philosopher Alan Watts who used his phrase ""the map is not the territory"" in lectures. Writer Robert Anton Wilson was also deeply influenced by Korzybski's ideas.",wikimedia/wikipedia,567
item_0002,"The bathymetry of the Atlantic is dominated by a submarine mountain range called the Mid-Atlantic Ridge (MAR). It runs from 87°N or south of the North Pole to the subantarctic Bouvet Island at 54°S. Expeditions to explore the bathymertry of the Atlantic include the Challenger expedition and the German Meteor expedition; , Columbia University's Lamont–Doherty Earth Observatory and the United States Navy Hydrographic Office conduct research on the ocean.",wikimedia/wikipedia,456
item_0003,"Alexander's sexuality has been the subject of speculation and controversy in modern times. The Roman era writer Athenaeus says, based on the scholar Dicaearchus, who was Alexander's contemporary, that the king ""was quite excessively keen on boys"", and that Alexander kissed the eunuch Bagoas in public. This episode is also told by Plutarch, probably based on the same source. None of Alexander's contemporaries, however, are known to have explicitly described Alexander's relationship with Hephaestion as sexual, though the pair was often compared to Achilles and Patroclus, whom classical Greek culture painted as a couple. Aelian writes of Alexander's visit to Troy where ""Alexander garlanded the tomb of Achilles, and Hephaestion that of Patroclus, the latter hinting that he was a beloved of Alexander, in just the same way as Patroclus was of Achilles."" Some modern historians (e.g., Robin Lane Fox) believe not only that Alexander's youthful relationship with Hephaestion was sexual, but that their sexual contacts may have continued into adulthood, which went against the social norms of at least some Greek cities, such as Athens, though some modern researchers have tentatively proposed that Macedonia (or at least the Macedonian court) may have been more tolerant of homosexuality between adults.",wikimedia/wikipedia,1307
item_0004,"Agassi's 2005 began with a quarterfinal loss to Federer at the Australian Open. Agassi had several other deep runs at tournaments, but had to withdraw from several events due to injury. He lost to Jarkko Nieminen in the first round of the French Open. He won his fourth title in Los Angeles and reached the final of the Rogers Cup, before falling to No. 2 Rafael Nadal.",wikimedia/wikipedia,369
item_0005,"The emphatic consonant was actually pronounced , or possibly —either way, a highly unusual sound. The medieval Arabs actually termed their language 'the language of the Ḍād' (the name of the letter used for this sound), since they thought the sound was unique to their language. (In fact, it also exists in a few other minority Semitic languages, e.g., Mehri.)",wikimedia/wikipedia,360
item_0006,AFI Fest is the American Film Institute's annual celebration of artistic excellence. It is a showcase for the best festival films of the year and an opportunity for master filmmakers and emerging artists to come together with audiences in the movie capital of the world. It is the only festival of its stature that is free to the public. The Academy of Motion Picture Arts and Sciences recognizes AFI Fest as a qualifying festival for the Short Films category for the annual Academy Awards.,wikimedia/wikipedia,490
item_0007,"From 2004 to 2020, the Academy Award nomination results were announced to the public in mid-January. Prior to that, the results were announced in early February. In 2021, the nominees were announced in March. In 2022, the nominees were announced in early February for the first time since 2003.",wikimedia/wikipedia,294
item_0008,"Ward died in 1903, not knowing the national stature his music would attain. Bates was more fortunate, since the song's popularity was well established by the time of her death in 1929. It is included in songbooks in many religious congregations in the United States.",wikimedia/wikipedia,266
item_0009,"By 1846, in his final scheme Lindley had greatly expanded and refined the treatment of the monocots, introducing both an intermediate ranking (Alliances) and tribes within orders (i.e. families). Lindley placed the Liliaceae within the Liliales, but saw it as a paraphyletic (""catch-all"") family, being all Liliales not included in the other orders, but hoped that the future would reveal some characteristic that would group them better. The order Liliales was very large and included almost all monocotyledons with colourful tepals and without starch in their endosperm (the lilioid monocots). The Liliales was difficult to divide into families because morphological characters were not present in patterns that clearly demarcated groups. This kept the Liliaceae separate from the Amaryllidaceae (Narcissales). Of these, Liliaceae was divided into eleven tribes (with 133 genera) and Amaryllidaceae into four tribes (with 68 genera), yet both contained many genera that would eventually segregate to each other's contemporary orders (Liliales and Asparagales respectively). The Liliaceae would be reduced to a small 'core' represented by the tribe Tulipae, while large groups such Scilleae and Asparagae would become part of Asparagales either as part of the Amaryllidaceae or as separate families. While of the Amaryllidaceae, the Agaveae would be part of Asparagaceae but the Alstroemeriae would become a family within the Liliales.",wikimedia/wikipedia,1436
item_0010,"P. R. Deltoid: A criminal rehabilitation social worker assigned the task of keeping Alex on the straight and narrow. He seemingly has no clue about dealing with young people, and is devoid of empathy or understanding for his troublesome charge. Indeed, when Alex is arrested for murdering an old woman and then ferociously beaten by several police officers, Deltoid simply spits on him.",wikimedia/wikipedia,386
item_0011,"In December 2019, Abdelmadjid Tebboune became Algeria's president, after winning the first round of the presidential election with a record abstention rate – the highest of all presidential elections since Algeria's democracy in 1989. Tebboune is accused to be close to the military and being loyal to the deposed president. Tebboune rejects these accusations, claiming to be the victim of a witch hunt. He also reminds his detractors that he was expelled from the Government in August 2017 at the instigation of oligarchs languishing in prison.",wikimedia/wikipedia,545
item_0012,"In the 2nd century, Galen of Pergamum, an anatomist, clinician, writer and philosopher, wrote the final and highly influential anatomy treatise of ancient times. He compiled existing knowledge and studied anatomy through dissection of animals. He was one of the first experimental physiologists through his vivisection experiments on animals. Galen's drawings, based mostly on dog anatomy, became effectively the only anatomical textbook for the next thousand years. His work was known to Renaissance doctors only through Islamic Golden Age medicine until it was translated from the Greek some time in the 15th century.",wikimedia/wikipedia,619
item_0013,"In South Africa, arraignment is defined as the calling upon the accused to appear, the informing of the accused of the crime charged against them, the demanding of the accused whether they plead guilty or not guilty, and the entering of their plea.",wikimedia/wikipedia,248
item_0014,"He who sees through the principium individuationis and comprehends suffering in general as his own will see suffering everywhere and, instead of fighting for the happiness of his individual manifestation, will abhor life itself since he knows that it is inseparably connected with suffering. For him, a happy individual life in a world of suffering is like a beggar who dreams one night that he is a king.",wikimedia/wikipedia,405
item_0015,"Even when storyboards were made, scenes that were shot differed from them significantly. Krohn's analysis of the production of Hitchcock classics like Notorious reveals that Hitchcock was flexible enough to change a film's conception during its production. Another example Krohn notes is the American remake of The Man Who Knew Too Much, whose shooting schedule commenced without a finished script and moreover went over schedule, something that, as Krohn notes, was not an uncommon occurrence on many of Hitchcock's films, including Strangers on a Train and Topaz. While Hitchcock did do a great deal of preparation for all his films, he was fully cognisant that the actual film-making process often deviated from the best-laid plans and was flexible to adapt to the changes and needs of production as his films were not free from the normal hassles faced and common routines used during many other film productions.",wikimedia/wikipedia,917
item_0016,"Although blind students have benefited from talking calculators, the abacus is often taught to these students in early grades. Blind students can also complete mathematical assignments using a braille-writer and Nemeth code (a type of braille code for mathematics) but large multiplication and long division problems are tedious. The abacus gives these students a tool to compute mathematical problems that equals the speed and mathematical knowledge required by their sighted peers using pencil and paper. Many blind people find this number machine a useful tool throughout life.",wikimedia/wikipedia,580
item_0017,"Of Alaska's 2020 U.S. census population figure of 733,391, 16,655 people, or 2.27% of the population, did not live in an incorporated city or census-designated place. Approximately three-quarters of that figure were people who live in urban and suburban neighborhoods on the outskirts of the city limits of Ketchikan, Kodiak, Palmer and Wasilla. CDPs have not been established for these areas by the United States Census Bureau, except that seven CDPs were established for the Ketchikan-area neighborhoods in the 1980 Census (Clover Pass, Herring Cove, Ketchikan East, Mountain Point, North Tongass Highway, Pennock Island and Saxman East), but have not been used since. The remaining population was scattered throughout Alaska, both within organized boroughs and in the Unorganized Borough, in largely remote areas.",wikimedia/wikipedia,816
item_0018,"Gradually, dissatisfaction among the Muslim population, which lacked political and economic status under the colonial system, gave rise to demands for greater political autonomy and eventually independence from France. In May 1945, the uprising against the occupying French forces was suppressed through what is now known as the Sétif and Guelma massacre. Tensions between the two population groups came to a head in 1954, when the first violent events of what was later called the Algerian War began after the publication of the Declaration of 1 November 1954. Historians have estimated that between 30,000 and 150,000 Harkis and their dependents were killed by the National Liberation Front (FLN) or by lynch mobs in Algeria. The FLN used hit and run attacks in Algeria and France as part of its war, and the French conducted severe reprisals. In addition, the French destroyed over 8,000 villages and relocated over 2 million Algerians to concentration camps.",wikimedia/wikipedia,962
item_0019,"In December 1981, Byte reviewed eight Asteroids clones for home computers. Three clones for the Apple II were reviewed together in the 1982 Creative Computing Software Buyers Guide: The Asteroid Field, Asteron, and Apple-Oids. In the last of these, the asteroids are in the shape of apples. Two independent clones, Asteroid for the Apple II and Fasteroids for TRS-80, were renamed to Planetoids and sold by Adventure International. Others clones include Acornsoft's Meteors, Moons of Jupiter for the VIC-20, MineStorm for the Vectrex, and Quicksilva's Meteor Storm for the ZX Spectrum which uses speech synthesis. A poorly implemented Asteroids clone for the VIC-20, published by Bug-Byte, motivated Jeff Minter to found Llamasoft.",wikimedia/wikipedia,731
item_0020,"There would be one change. Michael Collins, the CMP on the Apollo 8 crew, began experiencing trouble with his legs. Doctors diagnosed the problem as a bony growth between his fifth and sixth vertebrae, requiring surgery. Lovell took his place on the Apollo 8 crew, and when Collins recovered he joined Armstrong's crew as CMP. In the meantime, Fred Haise filled in as backup LMP, and Aldrin as backup CMP for Apollo 8. Apollo 11 was the second American mission where all the crew members had prior spaceflight experience, the first being Apollo 10. The next was STS-26 in 1988.",wikimedia/wikipedia,577
item_0021,"Several studies have attempted to date the evolution of the Asparagales, based on phylogenetic evidence. Earlier studies generally give younger dates than more recent studies, which have been preferred in the table below.",wikimedia/wikipedia,221
item_0022,"According to the Heritage Foundation, a conservative American think tank, oil production from Angola has increased so significantly that Angola now is China's biggest supplier of oil. ""China has extended three multi-billion dollar lines of credit to the Angolan government; two loans of $2 billion from China Exim Bank, one in 2004, the second in 2007, as well as one loan in 2005 of $2.9 billion from China International Fund Ltd.""",wikimedia/wikipedia,432
item_0023,"The Tanana Valley is another notable agricultural locus, especially the Delta Junction area, about southeast of Fairbanks, with a sizable concentration of farms growing agronomic crops; these farms mostly lie north and east of Fort Greely. This area was largely set aside and developed under a state program spearheaded by Hammond during his second term as governor. Delta-area crops consist predominantly of barley and hay. West of Fairbanks lies another concentration of small farms catering to restaurants, the hotel and tourist industry, and community-supported agriculture.",wikimedia/wikipedia,578
item_0024,"This view of Hitchcock as a director who relied more on pre-production than on the actual production itself has been challenged by Bill Krohn, the American correspondent of French film magazine Cahiers du Cinéma, in his book Hitchcock at Work. After investigating script revisions, notes to other production personnel written by or to Hitchcock, and other production material, Krohn observed that Hitchcock's work often deviated from how the screenplay was written or how the film was originally envisioned. He noted that the myth of storyboards in relation to Hitchcock, often regurgitated by generations of commentators on his films, was to a great degree perpetuated by Hitchcock himself or the publicity arm of the studios. For example, the celebrated crop-spraying sequence of North by Northwest was not storyboarded at all. After the scene was filmed, the publicity department asked Hitchcock to make storyboards to promote the film, and Hitchcock in turn hired an artist to match the scenes in detail.",wikimedia/wikipedia,1008
