item_id,gpt-5.2,claude-haiku-4.5,gemini-2.5-flash,perplexity-sonar,human_1,human_2,random_human
item_0000,6.0,6.0,8.0,8.0,7.0,6.0,6.509
item_0001,6.0,5.0,8.0,8.0,7.0,5.0,5.997999999999999
item_0002,4.0,4.0,6.0,4.0,4.0,4.0,4.0
item_0003,8.0,7.0,8.0,8.0,8.0,7.0,7.527
item_0004,7.0,6.0,9.0,7.0,7.0,7.0,7.0
item_0005,7.0,5.0,8.0,8.0,6.0,5.0,5.533
item_0006,6.0,4.0,7.0,8.0,6.0,5.0,5.517
item_0007,7.0,5.0,8.0,8.0,7.0,7.0,7.0
item_0008,7.0,4.0,7.0,7.0,7.0,5.0,6.088
item_0009,7.0,5.0,8.0,4.0,5.0,6.0,5.513999999999999
item_0010,6.0,4.0,7.0,2.0,4.0,4.0,4.0
item_0011,5.0,4.0,6.0,3.0,3.0,4.0,3.483
item_0012,7.0,6.0,8.0,9.0,5.0,7.0,5.984
item_0013,7.0,4.0,8.0,10.0,4.0,6.0,4.986000000000001
item_0014,4.0,3.0,7.0,4.0,4.0,4.0,4.0
item_0015,6.0,5.0,8.0,6.0,5.0,5.0,5.0
item_0016,6.0,5.0,8.0,8.0,5.0,5.0,5.0
item_0017,7.0,7.0,8.0,6.0,5.0,6.0,5.486000000000001
item_0018,7.0,6.0,8.0,5.0,5.0,6.0,5.496
item_0019,7.0,6.0,8.0,8.0,5.0,6.0,5.505000000000001
item_0020,7.0,6.0,8.0,3.0,5.0,6.0,5.522
item_0021,6.0,4.0,8.0,8.0,3.0,4.0,3.503
item_0022,6.0,5.0,8.0,3.0,5.0,5.0,5.0
item_0023,6.0,5.0,8.0,8.0,6.0,5.0,5.487
item_0024,8.0,7.0,9.0,9.0,7.0,8.0,7.506
item_0025,6.0,6.0,7.0,4.0,6.0,6.0,6.0
item_0026,6.0,5.0,5.0,7.0,5.0,6.0,5.481999999999999
item_0027,7.0,5.0,8.0,8.0,7.0,6.0,6.491
item_0028,6.0,4.0,6.0,3.0,5.0,5.0,5.0
item_0029,8.0,6.0,9.0,9.0,8.0,8.0,8.0
item_0030,7.0,7.0,9.0,9.0,7.0,8.0,7.492
item_0031,7.0,7.0,8.0,8.0,6.0,7.0,6.4830000000000005
item_0032,7.0,6.0,8.0,7.0,5.0,7.0,6.013999999999999
item_0033,7.0,6.0,9.0,8.0,5.0,6.0,5.496
item_0034,7.0,6.0,9.0,8.0,6.0,6.0,6.0
item_0035,5.0,5.0,7.0,3.0,5.0,5.0,5.0
item_0036,7.0,7.0,8.0,9.0,7.0,8.0,7.507
item_0037,7.0,6.0,8.0,9.0,6.0,7.0,6.529999999999999
item_0038,7.0,5.0,6.0,6.0,5.0,5.0,5.0
item_0039,7.0,6.0,8.0,8.0,6.0,7.0,6.5120000000000005
item_0040,7.0,5.0,8.0,7.0,7.0,6.0,6.497
item_0041,7.0,6.0,8.0,8.0,6.0,5.0,5.501
item_0042,7.0,6.0,8.0,8.0,7.0,7.0,7.0
item_0043,7.0,6.0,8.0,8.0,6.0,5.0,5.513
item_0044,8.0,7.0,9.0,8.0,6.0,6.0,6.0
item_0045,7.0,6.0,8.0,8.0,7.0,5.0,6.022
item_0046,6.0,5.0,9.0,3.0,7.0,6.0,6.503
item_0047,4.0,3.0,3.0,2.0,5.0,4.0,4.523
item_0048,5.0,5.0,6.0,3.0,6.0,5.0,5.5280000000000005
item_0049,3.0,3.0,3.0,7.0,5.0,3.0,3.9960000000000004
item_0050,7.0,6.0,8.0,8.0,7.0,5.0,5.962
item_0051,7.0,5.0,7.0,9.0,6.0,5.0,5.483
item_0052,5.0,5.0,5.0,2.0,5.0,5.0,5.0
item_0053,4.0,2.0,3.0,1.0,4.0,3.0,3.523
item_0054,6.0,5.0,8.0,8.0,5.0,5.0,5.0
item_0055,5.0,5.0,6.0,6.0,4.0,5.0,4.513
item_0056,6.0,5.0,8.0,3.0,4.0,4.0,4.0
item_0057,7.0,6.0,8.0,9.0,5.0,6.0,5.494
item_0058,8.0,6.0,8.0,9.0,6.0,6.0,6.0
item_0059,7.0,5.0,8.0,8.0,5.0,6.0,5.507
item_0060,6.0,6.0,8.0,8.0,4.0,5.0,4.492
item_0061,5.0,6.0,7.0,6.0,5.0,5.0,5.0
item_0062,7.0,6.0,8.0,8.0,7.0,7.0,7.0
item_0063,6.0,4.0,7.0,6.0,5.0,5.0,5.0
item_0064,6.0,5.0,7.0,7.0,5.0,6.0,5.510999999999999
item_0065,7.0,6.0,8.0,8.0,6.0,5.0,5.513999999999999
item_0066,6.0,6.0,6.0,7.0,6.0,6.0,6.0
item_0067,7.0,6.0,7.0,8.0,5.0,6.0,5.493
item_0068,5.0,4.0,6.0,3.0,4.0,4.0,4.0
item_0069,7.0,6.0,9.0,6.0,7.0,5.0,5.917999999999999
item_0070,7.0,6.0,9.0,6.0,7.0,7.0,7.0
item_0071,8.0,7.0,8.0,8.0,6.0,7.0,6.496
item_0072,6.0,5.0,7.0,7.0,5.0,6.0,5.505000000000001
item_0073,4.0,4.0,5.0,3.0,4.0,4.0,4.0
item_0074,6.0,4.0,8.0,8.0,6.0,4.0,4.970000000000001
item_0075,7.0,6.0,7.0,8.0,5.0,6.0,5.501
item_0076,6.0,6.0,8.0,9.0,6.0,7.0,6.511
item_0077,7.0,6.0,7.0,8.0,6.0,7.0,6.494
item_0078,6.0,6.0,8.0,3.0,5.0,4.0,4.487
item_0079,7.0,5.0,8.0,4.0,4.0,5.0,4.5120000000000005
item_0080,5.0,5.0,6.0,4.0,5.0,5.0,5.0
item_0081,7.0,6.0,8.0,7.0,5.0,6.0,5.464
item_0082,5.0,5.0,8.0,10.0,5.0,5.0,5.0
item_0083,6.0,5.0,7.0,7.0,4.0,5.0,4.513
