temperature,draw,input_tokens,output_tokens,cost,ok
0.0,3,1103,430,0.00325300,1
0.0,5,1103,430,0.00325300,1
0.0,8,1103,430,0.00325300,1
0.0,6,1103,430,0.00325300,1
0.0,4,1103,430,0.00325300,1
0.0,7,1103,430,0.00325300,1
0.0,2,1103,430,0.00325300,1
0.0,1,1103,430,0.00325300,1
0.0,9,1103,430,0.00325300,1
0.0,0,1103,430,0.00325300,1
0.0,10,1103,430,0.00325300,1
0.0,12,1103,430,0.00325300,1
0.0,11,1103,430,0.00325300,1
0.0,13,1103,430,0.00325300,1
0.0,14,1103,430,0.00325300,1
0.0,15,1103,430,0.00325300,1
0.0,16,1103,430,0.00325300,1
0.0,18,1103,430,0.00325300,1
0.0,17,1103,430,0.00325300,1
0.0,19,1103,430,0.00325300,1
0.0,21,1103,430,0.00325300,1
0.0,20,1103,430,0.00325300,1
0.0,23,1103,430,0.00325300,1
0.0,24,1103,430,0.00325300,1
0.0,25,1103,430,0.00325300,1
0.0,26,1103,430,0.00325300,1
0.0,27,1103,430,0.00325300,1
0.0,22,1103,430,0.00325300,1
0.0,28,1103,430,0.00325300,1
0.0,29,1103,430,0.00325300,1
0.0,30,1103,430,0.00325300,1
0.0,31,1103,430,0.00325300,1
0.0,32,1103,430,0.00325300,1
0.0,36,1103,430,0.00325300,1
0.0,34,1103,430,0.00325300,1
0.0,33,1103,430,0.00325300,1
0.0,37,1103,430,0.00325300,1
0.0,35,1103,430,0.00325300,1
0.0,39,1103,430,0.00325300,1
0.0,38,1103,430,0.00325300,1
0.0,41,1103,430,0.00325300,1
0.0,40,1103,430,0.00325300,1
0.0,42,1103,430,0.00325300,1
0.0,43,1103,430,0.00325300,1
0.0,44,1103,430,0.00325300,1
0.0,46,1103,430,0.00325300,1
0.0,45,1103,430,0.00325300,1
0.0,47,1103,430,0.00325300,1
0.0,48,1103,430,0.00325300,1
0.0,49,1103,430,0.00325300,1
0.0,51,1103,430,0.00325300,1
0.0,50,1103,430,0.00325300,1
0.0,52,1103,430,0.00325300,1
0.0,53,1103,430,0.00325300,1
0.0,55,1103,430,0.00325300,1
0.0,54,1103,430,0.00325300,1
0.0,56,1103,430,0.00325300,1
0.0,57,1103,430,0.00325300,1
0.0,58,1103,430,0.00325300,1
0.0,59,1103,430,0.00325300,1
0.0,61,1103,430,0.00325300,1
0.0,62,1103,430,0.00325300,1
0.0,60,1103,430,0.00325300,1
0.0,63,1103,430,0.00325300,1
0.0,64,1103,430,0.00325300,1
0.0,66,1103,430,0.00325300,1
0.0,67,1103,430,0.00325300,1
0.0,65,1103,430,0.00325300,1
0.0,68,1103,430,0.00325300,1
0.0,69,1103,430,0.00325300,1
0.0,70,1103,430,0.00325300,1
0.0,73,1103,430,0.00325300,1
0.0,72,1103,430,0.00325300,1
0.0,74,1103,430,0.00325300,1
0.0,75,1103,430,0.00325300,1
0.0,76,1103,430,0.00325300,1
0.0,71,1103,430,0.00325300,1
0.0,77,1103,430,0.00325300,1
0.0,78,1103,430,0.00325300,1
0.0,79,1103,430,0.00325300,1
0.0,80,1103,430,0.00325300,1
0.0,81,1103,430,0.00325300,1
0.0,82,1103,430,0.00325300,1
0.0,84,1103,430,0.00325300,1
0.0,83,1103,430,0.00325300,1
0.0,85,1103,430,0.00325300,1
0.0,86,1103,430,0.00325300,1
0.0,87,1103,430,0.00325300,1
0.0,88,1103,430,0.00325300,1
0.0,89,1103,430,0.00325300,1
0.0,91,1103,430,0.00325300,1
0.0,90,1103,430,0.00325300,1
0.0,93,1103,430,0.00325300,1
0.0,95,1103,430,0.00325300,1
0.0,94,1103,430,0.00325300,1
0.0,97,1103,430,0.00325300,1
0.0,96,1103,430,0.00325300,1
0.0,92,1103,430,0.00325300,1
0.0,98,1103,430,0.00325300,1
0.0,99,1103,430,0.00325300,1
0.0,100,1103,430,0.00325300,1
0.0,101,1103,430,0.00325300,1
0.0,103,1103,430,0.00325300,1
0.0,102,1103,430,0.00325300,1
0.0,106,1103,430,0.00325300,1
