item_id,rater_a,rater_b
item_0000,1,2
item_0001,1,3
item_0002,1,4
item_0003,1,5
item_0004,1,6
item_0005,1,7
item_0006,1,8
item_0007,1,9
item_0008,1,10
item_0009,2,3
item_0010,2,4
item_0011,2,5
item_0012,2,6
item_0013,2,7
item_0014,2,8
item_0015,2,9
item_0016,2,10
item_0017,3,4
item_0018,3,5
item_0019,3,6
item_0020,3,7
item_0021,3,8
item_0022,3,9
item_0023,3,10
item_0024,4,5
item_0025,4,6
item_0026,4,7
item_0027,4,8
item_0028,4,9
item_0029,4,10
item_0030,5,6
item_0031,5,7
item_0032,5,8
item_0033,5,9
item_0034,5,10
item_0035,6,7
item_0036,6,8
item_0037,6,9
item_0038,6,10
item_0039,7,8
item_0040,7,9
item_0041,7,10
item_0042,8,9
item_0043,8,10
item_0044,9,10
item_0045,1,2
item_0046,1,3
item_0047,1,4
item_0048,1,5
item_0049,1,6
item_0050,1,7
item_0051,1,8
item_0052,1,9
item_0053,1,10
item_0054,2,3
item_0055,2,4
item_0056,2,5
item_0057,2,6
item_0058,2,7
item_0059,2,8
item_0060,2,9
item_0061,2,10
item_0062,3,4
item_0063,3,5
item_0064,3,6
item_0065,3,7
item_0066,3,8
item_0067,3,9
item_0068,3,10
item_0069,4,5
item_0070,4,6
item_0071,4,7
item_0072,4,8
item_0073,4,9
item_0074,4,10
item_0075,5,6
item_0076,5,7
item_0077,5,8
item_0078,5,9
item_0079,5,10
item_0080,6,7
item_0081,6,8
item_0082,6,9
item_0083,6,10
item_0084,7,8
item_0085,7,9
item_0086,7,10
item_0087,8,9
item_0088,8,10
item_0089,9,10
item_0090,1,2
item_0091,1,3
item_0092,1,4
item_0093,1,5
item_0094,1,6
item_0095,1,7
item_0096,1,8
item_0097,1,9
item_0098,1,10
item_0099,2,3
item_0100,2,4
item_0101,2,5
item_0102,2,6
item_0103,2,7
item_0104,2,8
item_0105,2,9
item_0106,2,10
item_0107,3,4
item_0108,3,5
item_0109,3,6
item_0110,3,7
item_0111,3,8
item_0112,3,9
item_0113,3,10
item_0114,4,5
item_0115,4,6
item_0116,4,7
item_0117,4,8
item_0118,4,9
item_0119,4,10
item_0120,5,6
item_0121,5,7
item_0122,5,8
item_0123,5,9
item_0124,5,10
item_0125,6,7
item_0126,6,8
item_0127,6,9
item_0128,6,10
item_0129,7,8
item_0130,7,9
item_0131,7,10
item_0132,8,9
item_0133,8,10
item_0134,9,10
item_0135,1,2
item_0136,1,3
item_0137,1,4
item_0138,1,5
item_0139,1,6
item_0140,1,7
item_0141,1,8
item_0142,1,9
item_0143,1,10
item_0144,2,3
item_0145,2,4
item_0146,2,5
item_0147,2,6
item_0148,2,7
item_0149,2,8
item_0150,2,9
item_0151,2,10
item_0152,3,4
item_0153,3,5
item_0154,3,6
item_0155,3,7
item_0156,3,8
item_0157,3,9
item_0158,3,10
item_0159,4,5
item_0160,4,6
item_0161,4,7
item_0162,4,8
item_0163,4,9
item_0164,4,10
item_0165,5,6
item_0166,5,7
item_0167,5,8
item_0168,5,9
item_0169,5,10
item_0170,6,7
item_0171,6,8
item_0172,6,9
item_0173,6,10
item_0174,7,8
item_0175,7,9
item_0176,7,10
item_0177,8,9
item_0178,8,10
item_0179,9,10
item_0180,1,2
item_0181,1,3
item_0182,1,4
item_0183,1,5
item_0184,1,6
item_0185,1,7
item_0186,1,8
item_0187,1,9
item_0188,1,10
item_0189,2,3
item_0190,2,4
item_0191,2,5
item_0192,2,6
item_0193,2,7
item_0194,2,8
item_0195,2,9
item_0196,2,10
item_0197,3,4
item_0198,3,5
item_0199,3,6
item_0200,3,7
item_0201,3,8
item_0202,3,9
item_0203,3,10
item_0204,4,5
item_0205,4,6
item_0206,4,7
item_0207,4,8
item_0208,4,9
item_0209,4,10
item_0210,5,6
item_0211,5,7
item_0212,5,8
item_0213,5,9
item_0214,5,10
item_0215,6,7
item_0216,6,8
item_0217,6,9
item_0218,6,10
item_0219,7,8
item_0220,7,9
item_0221,7,10
item_0222,8,9
item_0223,8,10
item_0224,9,10
item_0225,1,2
item_0226,1,3
item_0227,1,4
item_0228,1,5
item_0229,1,6
item_0230,1,7
item_0231,1,8
item_0232,1,9
item_0233,1,10
item_0234,2,3
item_0235,2,4
item_0236,2,5
item_0237,2,6
item_0238,2,7
item_0239,2,8
item_0240,2,9
item_0241,2,10
item_0242,3,4
item_0243,3,5
item_0244,3,6
item_0245,3,7
item_0246,3,8
item_0247,3,9
item_0248,3,10
item_0249,4,5
item_0250,4,6
item_0251,4,7
item_0252,4,8
item_0253,4,9
item_0254,4,10
item_0255,5,6
item_0256,5,7
item_0257,5,8
item_0258,5,9
item_0259,5,10
item_0260,6,7
item_0261,6,8
item_0262,6,9
item_0263,6,10
item_0264,7,8
item_0265,7,9
item_0266,7,10
item_0267,8,9
item_0268,8,10
item_0269,9,10
item_0270,1,2
item_0271,1,3
item_0272,1,4
item_0273,1,5
item_0274,1,6
item_0275,1,7
