item_id,rater_a,score_a,rater_b,score_b,item_quality_hat
item_0000,1,5.9422413793103335,2,6.747227399813599,6.3447343895619905
item_0001,1,5.9422413793103335,3,5.53101118359739,5.736626281453824
item_0002,1,2.9422413793103335,4,3.81929947188568,3.380770425598005
item_0003,1,6.9422413793103335,5,7.603083255669462,7.272662317489905
item_0004,1,5.9422413793103335,6,6.657137309723512,6.2996893445169135
item_0005,1,4.9422413793103335,7,4.927272727272733,4.93475705329153
item_0006,1,4.9422413793103335,8,4.53636363636364,4.739302507836992
item_0007,1,5.9422413793103335,9,6.809090909090912,6.375666144200622
item_0008,1,5.9422413793103335,10,5.427272727272732,5.684757053291533
item_0009,2,5.747227399813599,3,6.53101118359739,6.1391192917055015
item_0010,2,4.747227399813599,4,3.81929947188568,4.283263435849642
item_0011,2,3.7472273998135988,5,4.603083255669462,4.175155327741528
item_0012,2,5.747227399813599,6,6.657137309723512,6.202182354768549
item_0013,2,4.747227399813599,7,5.927272727272733,5.337250063543162
item_0014,2,4.747227399813599,8,3.5363636363636397,4.1417955180886015
item_0015,2,5.747227399813599,9,4.809090909090912,5.27815915445227
item_0016,2,5.747227399813599,10,5.427272727272732,5.587250063543162
item_0017,3,5.53101118359739,4,5.81929947188568,5.675155327741529
item_0018,3,5.53101118359739,5,6.603083255669462,6.06704721963342
item_0019,3,5.53101118359739,6,5.657137309723512,5.594074246660447
item_0020,3,5.53101118359739,7,5.927272727272733,5.7291419554350576
item_0021,3,3.53101118359739,8,3.5363636363636397,3.5336874099805025
item_0022,3,5.53101118359739,9,4.809090909090912,5.1700510463441445
item_0023,3,6.53101118359739,10,5.427272727272732,5.979141955435062
item_0024,4,6.81929947188568,5,8.603083255669462,7.7111913637775675
item_0025,4,5.81929947188568,6,5.657137309723512,5.73821839080461
item_0026,4,4.81929947188568,7,5.927272727272733,5.373286099579207
item_0027,4,6.81929947188568,8,5.53636363636364,6.177831554124678
item_0028,4,4.81929947188568,9,4.809090909090912,4.814195190488278
item_0029,4,7.81929947188568,10,8.427272727272733,8.123286099579206
item_0030,5,7.603083255669462,6,7.657137309723512,7.63011028269649
item_0031,5,6.603083255669462,7,6.927272727272733,6.765177991471087
item_0032,5,5.603083255669462,8,6.53636363636364,6.069723446016546
item_0033,5,5.603083255669462,9,5.809090909090912,5.706087082380179
item_0034,5,6.603083255669462,10,6.427272727272732,6.5151779914710914
item_0035,6,4.657137309723512,7,4.927272727272733,4.7922050184981115
item_0036,6,6.657137309723512,8,7.53636363636364,7.096750473043567
item_0037,6,5.657137309723512,9,6.809090909090912,6.233114109407207
item_0038,6,4.657137309723512,10,5.427272727272732,5.042205018498115
item_0039,7,5.927272727272733,8,6.53636363636364,6.231818181818174
item_0040,7,6.927272727272733,9,5.809090909090912,6.368181818181814
item_0041,7,5.927272727272733,10,5.427272727272732,5.677272727272722
item_0042,8,6.53636363636364,9,6.809090909090912,6.672727272727269
item_0043,8,5.53636363636364,10,5.427272727272732,5.481818181818175
item_0044,9,5.809090909090912,10,6.427272727272732,6.118181818181816
item_0045,1,5.9422413793103335,2,5.747227399813599,5.844734389561974
item_0046,1,5.9422413793103335,3,6.53101118359739,6.2366262814538675
item_0047,1,3.9422413793103335,4,3.81929947188568,3.8807704255980076
item_0048,1,4.9422413793103335,5,5.603083255669462,5.272662317489903
item_0049,1,3.9422413793103335,6,2.6571373097235123,3.2996893445169238
item_0050,1,5.9422413793103335,7,4.927272727272733,5.434757053291537
item_0051,1,4.9422413793103335,8,4.53636363636364,4.7393025078369835
item_0052,1,3.9422413793103335,9,4.809090909090912,4.375666144200623
item_0053,1,2.9422413793103335,10,3.427272727272732,3.1847570532915346
item_0054,2,5.747227399813599,3,5.53101118359739,5.639119291705496
item_0055,2,4.747227399813599,4,4.81929947188568,4.78326343584964
item_0056,2,4.747227399813599,5,4.603083255669462,4.675155327741534
item_0057,2,5.747227399813599,6,5.657137309723512,5.702182354768558
item_0058,2,6.747227399813599,7,5.927272727272733,6.337250063543165
item_0059,2,5.747227399813599,8,5.53636363636364,5.641795518088619
item_0060,2,4.747227399813599,9,4.809090909090912,4.778159154452256
item_0061,2,5.747227399813599,10,5.427272727272732,5.5872500635431654
item_0062,3,7.53101118359739,4,6.81929947188568,7.17515532774153
item_0063,3,5.53101118359739,5,5.603083255669462,5.567047219633426
item_0064,3,5.53101118359739,6,5.657137309723512,5.594074246660447
item_0065,3,6.53101118359739,7,4.927272727272733,5.7291419554350576
item_0066,3,6.53101118359739,8,5.53636363636364,6.033687409980515
item_0067,3,5.53101118359739,9,5.809090909090912,5.670051046344149
item_0068,3,4.53101118359739,10,4.427272727272732,4.4791419554350576
item_0069,4,6.81929947188568,5,5.603083255669462,6.211191363777568
item_0070,4,6.81929947188568,6,6.657137309723512,6.738218390804589
item_0071,4,5.81929947188568,7,6.927272727272733,6.3732860995792
item_0072,4,4.81929947188568,8,5.53636363636364,5.177831554124649
item_0073,4,3.81929947188568,9,3.809090909090912,3.8141951904882925
item_0074,4,5.81929947188568,10,4.427272727272732,5.123286099579203
item_0075,5,5.603083255669462,6,5.657137309723512,5.630110282696482
item_0076,5,6.603083255669462,7,6.927272727272733,6.765177991471093
item_0077,5,6.603083255669462,8,6.53636363636364,6.569723446016544
item_0078,5,5.603083255669462,9,3.809090909090912,4.706087082380174
item_0079,5,4.603083255669462,10,5.427272727272732,5.01517799147109
item_0080,6,4.657137309723512,7,4.927272727272733,4.792205018498112
item_0081,6,4.657137309723512,8,5.53636363636364,5.096750473043568
item_0082,6,4.657137309723512,9,4.809090909090912,4.733114109407209
item_0083,6,3.6571373097235123,10,5.427272727272732,4.542205018498118
item_0084,7,5.927272727272733,8,5.53636363636364,5.731818181818176
item_0085,7,5.927272727272733,9,5.809090909090912,5.868181818181811
item_0086,7,5.927272727272733,10,6.427272727272732,6.177272727272727
item_0087,8,7.53636363636364,9,6.809090909090912,7.172727272727267
item_0088,8,4.53636363636364,10,5.427272727272732,4.9818181818181815
